gu	dong_tokens	name	address	category	lat	lon	url
중구		DDP(동대문디자인플라자)	서울특별시 중구 을지로 281	기타	37.56735731522952	127.0097797348434	http://www.ddp.or.kr
성동구	성동	우란2경	서울특별시 성동구 연무장7길 11 2층	공연장	37.5437897702564	127.054416929987	https://www.wooranfdn.org/about/space.jsp
은평구		구립은평뉴타운도서관	서울특별시 은평구 진관2로 111-51	도서관	37.63723039689538	126.93311834754996	http://www.enlib.or.kr/
종로구		씨어터쿰	서울특별시 종로구 창경궁로 253-7	공연장	37.5844227357062	126.999528450321	https://www.daehakroticket.com/ticket.do?command=hall_view&tht_code=20200304001
노원구		노원문화예술회관	서울 노원구 중계로 181 노원문화예술회관	문화예술회관	37.6502368524442	127.080267103033	https://www.nowonarts.kr/
종로구		동숭무대소극장	서울특별시 종로구 혜화로 35 지하 1층	공연장	37.58868965585108	126.99917120271677	https://cafe.naver.com/dsstage
금천구		금천예술공장	서울특별시 금천구 범안로15길 57	기타	37.4688247596721	126.891928199853	http://www.sfac.or.kr/artspace/artspace/geumcheon_main.do
마포구		연세대학교 김대중도서관	서울특별시 마포구 신촌로4길 5-26	도서관	37.5569823830529	126.929590018517	https://www.kdjlibrary.org/
동대문구		세종대왕기념관	서울특별시 동대문구 회기로 56	박물관/기념관	37.5909928893989	127.042703170101	http://sejongkorea.org/main/main.html
용산구		주한독일문화원	서울 용산구 소월로 132 독일문화원	문화원	37.5507131461622	126.982711486486	http://www.goethe.de/ins/kr/seo/deindex.htm
중구		주한영국문화원	서울특별시 중구 서소문로11길 19	문화원	37.5637878280982	126.972089131199	https://www.britishcouncil.kr/
구로구		서울특별시교육청 고척도서관	서울 구로구 고척로45길 31 고척시립도서관	도서관	37.5053199924985	126.853039264745	http://gclib.sen.go.kr/
용산구		용산도시기억전시관	서울특별시 용산구 서빙고로 17	박물관/기념관	37.5269056148241	126.966566172294	https://blog.naver.com/yongsanpark_gallery
강동구	강동|천호동	광진교 8번가	서울 강동구 천호동 527-2	기타	37.5451462595072	127.112687934633	https://riverview8.co.kr
송파구		뮤지엄한미 방이	서울 송파구 위례성대로 14 19층	미술관/갤러리	37.5165925928554	127.113956209115	https://museumhanmi.or.kr/
