연번	자치구 	시장명 	신주소(도로명 주소)	구주소(번지주소)	유형	형태	 건물연면적(㎡) 
총계	서울시	521	　	　	　	　	  
소계	종로구	35	　	　	　	　	　
1	종로구	광장시장	종로구 창경궁로 88	종로구 예지동 6-1	등록시장	건물형	             18,975
2	종로구	광장전통시장	종로구 창경궁로 88 일대	종로구 예지동 293-1	상점가	골목형	             49,384
3	종로구	낙원악기상가	서울 종로구 삼일대로 428	 	인정시장	건물형	             20,398
4	종로구	동대문문구·완구거리	종로구 종로52길 36 일대	종로구 창신동 390-29 일대	상점가	골목형	               8,693
5	종로구	동대문상가A동	종로구 청계천로 295	종로구 창신동 436-79	무등록시장	건물형	               4,735
6	종로구	동대문상가B동	종로구 청계천로 307	종로구 창신동 436-78	무등록시장	건물형	               4,735
7	종로구	동대문상가C동	종로구 청계천로 319	종로구 창신동 436-65	무등록시장	건물형	               4,735
8	종로구	동대문상가D동(일신파워빌딩)	종로구 청계천로 331	종로구 창신동 436-64	무등록시장	건물형	               8,370
9	종로구	동대문역일번출구 골목형상점가	서울 종로구 종로 293	 	골목형상점가	골목형	                    -
10	종로구	동대문종합시장	종로구 종로 266	종로구 종로6가 289-42	등록시장	건물형	             61,475
11	종로구	동대문종합시장D동	종로구 종로 266	종로구 종로6가 262-1	등록시장	건물형	             12,452
12	종로구	동대문종합시장신관	종로구 종로272	종로구 종로6가 289-57	등록시장	건물형	             13,533
13	종로구	동대문지하쇼핑센터	종로구 율곡로 지하 308	종로구 종로6가 287-1 일대	인정시장	지하도상가	               2,285
14	종로구	동묘시장	종로구 종로 58길40	종로구 숭인동 241-1 일대	상점가	골목형	               5,480
15	종로구	동문시장	종로구 종로44길 14	종로구 창신동 437-1	등록시장	건물형	               3,226
16	종로구	마전교지하쇼핑센터	종로구 동호로 지하 398	종로구 종로5가 194-1 일대	인정시장	지하도상가	               1,210
17	종로구	보령약국골목상가	서울 종로구 종로31길 22	서울 종로구 연지동 254-1	상점가	상점가	               1,336
18	종로구	북촌계동길 골목형상점가	서울 종로구 계동길 52-12	서울 종로구 계동 140-68	골목형상점가	골목형	               5,680
19	종로구	삼청정독길 골목형상점가	서울 종로구 율곡로1길 52	서울 종로구 사간동 11-2	골목형상점가	골목형	               2,869
20	종로구	세운상가가동	종로구 청계천로 159	종로구 장사동 116-4	상점가	건물형	             10,818
21	종로구	세종마을음식문화거리	종로구 자하문로 1길 일대	종로구 내자동 1-2 일대	상점가	골목형	               5,850
