gu	dong_tokens	name	address	category	lat	lon	url
중구	예장동	남산공원	서울특별시 중구 삼일대로 231(예장동)	공원	37.5501402	126.9903773	http://parks.seoul.go.kr/template/sub/namsan.do
강동구	강동|길동	길동생태공원	서울특별시 강동구 천호대로 1291(길동생태공원)	공원	37.5403935	127.1547791	http://parks.seoul.go.kr/template/sub/gildong.do
성동구	성동|성수동1가	서울숲	서울특별시 성동구 뚝섬로 273 (성수동1가)	공원	37.5430717	127.0417982	http://parks.seoul.go.kr/template/sub/seoulforest.do
마포구		월드컵공원	서울특별시 마포구 하늘공원로 84(월드컵공원)	공원	37.571805	126.878907	http://parks.seoul.go.kr/template/sub/worldcuppark.do
종로구		광화문시민열린마당	서울특별시 종로구 세종로 76-2	공원	37.5750449	126.9780227	https://map.naver.com/p/search/%EA%B4%91%ED%99%94%EB%AC%B8%EC%8B%9C%EB%AF%BC%EC%97%B4%EB%A6%B0%EB%A7%88%EB%8B%B9%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A2%85%EB%A1%9C%EA%B5%AC%20%EC%84%B8%EC%A2%85%EB%A1%9C%2076-2
은평구	진관동	진관근린공원(구파발폭포)	서울특별시 은평구 진관동 393	공원	37.6370244	126.9192155	https://map.naver.com/p/search/%EC%A7%84%EA%B4%80%EA%B7%BC%EB%A6%B0%EA%B3%B5%EC%9B%90%28%EA%B5%AC%ED%8C%8C%EB%B0%9C%ED%8F%AD%ED%8F%AC%29%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9D%80%ED%8F%89%EA%B5%AC%20%EC%A7%84%EA%B4%80%EB%8F%99%20393
영등포구	영등포동2가	중마루근린공원	서울특별시 영등포구 영등포동2가 222	공원	37.519832	126.9112668	https://map.naver.com/p/search/%EC%A4%91%EB%A7%88%EB%A3%A8%EA%B7%BC%EB%A6%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%98%81%EB%93%B1%ED%8F%AC%EA%B5%AC%20%EC%98%81%EB%93%B1%ED%8F%AC%EB%8F%992%EA%B0%80%20222
성동구	성동|금호동1가	응봉공원 (대현산배수지공원)	서울특별시 성동구 금호동1가 산1-72	공원	37.5572281	127.0217653	https://map.naver.com/p/search/%EC%9D%91%EB%B4%89%EA%B3%B5%EC%9B%90%20%28%EB%8C%80%ED%98%84%EC%82%B0%EB%B0%B0%EC%88%98%EC%A7%80%EA%B3%B5%EC%9B%90%29%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EB%8F%991%EA%B0%80%20%EC%82%B01-72
강서구	등촌동	매화근린공원	서울특별시 강서구 등촌동 630-14	공원	37.5575833	126.86115	https://map.naver.com/p/search/%EB%A7%A4%ED%99%94%EA%B7%BC%EB%A6%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EC%84%9C%EA%B5%AC%20%EB%93%B1%EC%B4%8C%EB%8F%99%20630-14
성동구	성동|성수2가	성수근린공원	서울특별시 성동구 성수2가 3동 302-25	공원	37.5448144	127.0524023	https://map.naver.com/p/search/%EC%84%B1%EC%88%98%EA%B7%BC%EB%A6%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%84%B1%EC%88%982%EA%B0%80%203%EB%8F%99%20302-25
강동구	강동|명일1동	샛마을근린공원	서울특별시 강동구 명일1동 288	공원	37.5504807	127.1471618	https://map.naver.com/p/search/%EC%83%9B%EB%A7%88%EC%9D%84%EA%B7%BC%EB%A6%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%8F%99%EA%B5%AC%20%EB%AA%85%EC%9D%BC1%EB%8F%99%20288
