"문화재번호","문화재명","문화재명(한자)","문화재명(영문)","자치단체코드","자치단체명칭","gps 경도","gps 위도","소재지/보관장소","소재지(도로명)","문화재분야","제작자","제작연대","재료/재질","재료/재질 상세","구조/형식","수량/면적","규격/크기","규모","보호대상","부속시설물","안내판기재내용","문화재개요","문화재현황","특징/특성","보수이력","신청번호","신청분류코드","신청분류명칭","지정번호","지정구분코드","지정구분명칭","지정일","지정해제일","지정사유","지정해제사유","지정여부","지정번호하위","해제/취소구분","종목코드","종목명칭","국가유산번호","동산구분","분류(항일독립 등)","종교","소유구분","관리자구분","처리상태코드","처리상태명","취득경위","확인사유","비고"
"SE2019CM00094","지장사 아미타불도","地藏寺 阿彌陀佛圖","","SE012","동작구","126.970988","37.4992854","서울특별시 동작구 현충로 210 (동작동, 호국지장사)","서울특별시 동작구 현충로 210(동작동) ","","","1870년(동치9년,고종7년)","CA8017","","불도","1幅","","","","","지장사 아미타불도 地藏寺 阿彌陀佛圖  지정번호 : 서울시특별시 유형문화재 제114호  아미타불도는 극락세계를 주재하는 아미타불의 설법 장면을 그린 불화로, 가로로 긴 화면에 아미타불과 8대 보살, 10대 제자. 아난존자와 가섭존자, 사천왕 등을 그렸다. 극락구품도는 극락연못에서 설법하는 아미타삼존과 설법을 듣기 위해 모여든 시방제불 ? 공작 등의 청중을 그린 불화이다. 감로도는 죽은 사람의 극락왕생을 기원 하는 수륙재 때 봉안하는 의식용 불화이다. 상단에는 여래와 인로왕보살 등을, 중단에는 시식단과 아귀 등을, 하단에는 삶과 죽음을 끝없이 되풀이해야 하는 중생들을 그렸다. 1893년 마곡사의 화승 금호당(錦湖堂) 약효(若效)가 제작하였다. 지장시왕도는 사후세계를 관장하는 지장보살과 명부에서 중생의 죄를 심판하는 시왕과 그 권속들을 그린 불화이다. 1893년에 금호당 약효가 제작하였다.","아미타불이 설법하는 모습을 그린 그림으로, 비단 바탕에 채색하였으며, 가로 223.5㎝, 세로 138㎝ 의 규모이다. 화면의 중심에 아미타불을 두고, 양 옆에 권속들을 배치하였는데, 형태가 풍만하고 정교하며 무늬가 화려하다. 5가지 색깔의 광배가 눈길을 끌며, 옷의 묘사가 도식화되어 있다. 적색과 녹색의 색상은 다소 탁하며, 코발트 빛깔의 짙은 청색은 19세기 말의 불화양식을 잘 보여준다.","","","","","","","114","LOC","시지정","19990519","","","","Y","","","LW3010","유형문화유산","2111101140000","동산","","불교","CA9004","CA9004","DSGPS7010","기지정 문화재 등록완료","","",""
"SE2019CM00095","지장사 극락구품도","地藏寺 極樂九品圖","","SE012","동작구","126.970988","37.4992854","서울특별시 동작구 동작동 산41-2 국립서울현충원 ","서울특별시 동작구 현충로 210(동작동) ","","","1893년(광자19,고종30)","CA8017","","기타","1幅","","","","","지장사 극락구품도  地藏寺 極樂九品圖  지정번호 : 서울시특별시 유형문화재 제115호  아미타불도는 극락세계를 주재하는 아미타불의 설법 장면을 그린 불화로, 가로로 긴 화면에 아미타불과 8대 보살, 10대 제자. 아난존자와 가섭존자, 사천왕 등을 그렸다. 극락구품도는 극락연못에서 설법하는 아미타삼존과 설법을 듣기 위해 모여든 시방제불 ? 공작 등의 청중을 그린 불화이다. 감로도는 죽은 사람의 극락왕생을 기원 하는 수륙재 때 봉안하는 의식용 불화이다. 상단에는 여래와 인로왕보살 등을, 중단에는 시식단과 아귀 등을, 하단에는 삶과 죽음을 끝없이 되풀이해야 하는 중생들을 그렸다. 1893년 마곡사의 화승 금호당(錦湖堂) 약효(若效)가 제작하였다. 지장시왕도는 사후세계를 관장하는 지장보살과 명부에서 중생의 죄를 심판하는 시왕과 그 권속들을 그린 불화이다. 1893년에 금호당 약효가 제작하였다.","관무량수경의 16관 중 제 14?15?16관에 해당되는 9품이 극락에 간 것을 묘사한 그림으로, 동화사 염불암의 극락구품도와 함께 동일한 원본을 보고 그린 것이다. 비단 바탕에 채색하였으며, 가로 170.8㎝, 세로 166.3㎝의 규모이다. 얼굴의 이목구비를 섬약하게 표현하긴 하였으나, 조선 후기 극락구품도의 독특한 유형을 잘 보여주며, 음영의 표현이나 적색과 녹색의 대비, 화려한 꽃무늬 등은 19세기의 불화양식을 그대로 나타내고 있다.","","","","","","","115","LOC","시지정","19990519","","","","Y","","","LW3010","유형문화유산","2111101150000","동산","","불교","CA9004","CA9004","DSGPS7010","기지정 문화재 등록완료","","",""
"SE2019CM00096","지장사 감로도","地藏寺 甘露圖","","SE012","동작구","126.970988","37.4992854","서울특별시 동작구 동작동 산41-2 국립서울현충원 ","서울특별시 동작구 현충로 210(동작동) ","","","1893년(광자19,고종30)","CA8017","","기타","1幅","","","","","지장사 감로도 地藏寺 甘露圖  지정번호 : 서울시특별시 유형문화재 제116호  아미타불도는 극락세계를 주재하는 아미타불의 설법 장면을 그린 불화로, 가로로 긴 화면에 아미타불과 8대 보살, 10대 제자. 아난존자와 가섭존자, 사천왕 등을 그렸다. 극락구품도는 극락연못에서 설법하는 아미타삼존과 설법을 듣기 위해 모여든 시방제불 ? 공작 등의 청중을 그린 불화이다. 감로도는 죽은 사람의 극락왕생을 기원 하는 수륙재 때 봉안하는 의식용 불화이다. 상단에는 여래와 인로왕보살 등을, 중단에는 시식단과 아귀 등을, 하단에는 삶과 죽음을 끝없이 되풀이해야 하는 중생들을 그렸다. 1893년 마곡사의 화승 금호당(錦湖堂) 약효(若效)가 제작하였다. 지장시왕도는 사후세계를 관장하는 지장보살과 명부에서 중생의 죄를 심판하는 시왕과 그 권속들을 그린 불화이다. 1893년에 금호당 약효가 제작하였다.","지장사 대웅전 내에 보존되고 있는 그림으로, 『우란분경』이라는 불교의 경전을 그림으로 해석한 것이다. 가로 196.5㎝, 세로 150.3㎝의 비단 바탕에 채색하였으며, 화면을 3단으로 나누어 그렸다. 상부에는 극락의 아미타 일행이 지옥 중생을 맞이하러 오는 장면을 그리고, 중앙부에는 성반의식(우란분경에서 7월 15일 승려 및 십방제불에게 백미를 올리고 발원하는 의식)을 하는 모습과 주변의 아귀의 모습을, 하단부에는 고통에 신음하는 지옥과 현실의 모습을 그렸다. 일곱 여래의 장엄하면서도 원만한 얼굴과 옆을 바라보고 있는 자세, 성반의식을 하고 있는 스님들의 모습과 산수의 표현 등은 19세기 초의 양식을 잘 보여주고 있지만, 나뭇잎 선의 처리와 산수의 음영처리 등에서 19세기 말의 불화양식이 나타난다.","","","","","","","116","LOC","시지정","19990519","","","","Y","","","LW3010","유형문화유산","2111101160000","동산","","불교","CA9004","CA9004","DSGPS7010","기지정 문화재 등록완료","","",""
"SE2019CM00097","지장사 지장시왕도","地藏寺 地藏十王圖","","SE012","동작구","126.970988","37.4992854","서울특별시 동작구 동작동 산41-2 국립서울현충원 ","서울특별시 동작구 현충로 210(동작동) ","","","1893년(광자19,고종30)","CA8017","","기타","1幅","","","","","지장사 지장시왕도  지정번호 : 서울시특별시 유형문화재 제117호  아미타불도는 극락세계를 주재하는 아미타불의 설법 장면을 그린 불화로, 가로로 긴 화면에 아미타불과 8대 보살, 10대 제자. 아난존자와 가섭존자, 사천왕 등을 그렸다. 극락구품도는 극락연못에서 설법하는 아미타삼존과 설법을 듣기 위해 모여든 시방제불 ? 공작 등의 청중을 그린 불화이다. 감로도는 죽은 사람의 극락왕생을 기원 하는 수륙재 때 봉안하는 의식용 불화이다. 상단에는 여래와 인로왕보살 등을, 중단에는 시식단과 아귀 등을, 하단에는 삶과 죽음을 끝없이 되풀이해야 하는 중생들을 그렸다. 1893년 마곡사의 화승 금호당(錦湖堂) 약효(若效)가 제작하였다. 지장시왕도는 사후세계를 관장하는 지장보살과 명부에서 중생의 죄를 심판하는 시왕과 그 권속들을 그린 불화이다. 1893년에 금호당 약효가 제작하였다.","지장보살과 시왕(十王)을 그린 그림으로, 비단 바탕에 채색하였으며 그림의 크기는 가로 182.5㎝, 세로 173㎝이다. 권속들을 계단식으로 정연하게 배치하였고 화폭의 상단으로 갈수록 지장보살과 시왕의 상을 작게 묘사하여 원근법의 효과를 잘 살렸다. 원만한 인물의 형태는 18세기 말의 양식이지만, 오색 광선으로 표현한 광배?도식적인 천의?단조로운 구름 등의 묘사는 19세기 불화양식을 보여준다. 조선 고종 30년(1893)에 제작된 것으로, 전반적으로 많이 변색되긴 하였으나, 일부 적색과 녹색은 비교적 밝게 채색되어 있다.","","","","","","","117","LOC","시지정","19990519","","","","Y","","","LW3010","유형문화유산","2111101170000","동산","","불교","CA9004","CA9004","DSGPS7010","기지정 문화재 등록완료","","",""
"SE2019CM00098","지장사 대웅전 신중도","地藏寺 大雄殿 神衆圖","","SE012","동작구","126.970988","37.4992854","서울특별시 동작구 동작동 산41-2 국립서울현충원 ","서울특별시 동작구 현충로 210(동작동) ","","","1893년(광자19,고종30)","CA8017","","보살도","1幅","","","","","지장사 대웅전 신중도  地?寺 大雄殿 神衆圖  지정번호 : 서울시특별시 유형문화재 제118호  신중도는 불법을 수호하는 신중을 그린 불화로, 제석천과 범천. 위태천과 천룡팔부를 중심으로 많은 신중들을 묘사했다. 불균형한 인체 표현과 과장된 안면의 묘사 등 19세기 불화의 특징이 드러나 있다. 현왕도는 사람이 죽은 후 3일 만에 심판하는 현왕과 그 권속들을 그린 것으로 1893년 금호당 약효가 제작하였다. 인물의 일률적인 안면 묘사, 옷주름 표현의 간략화, 형식화된 문양, 탁한 군청색의 사용, 단색의 구름 표현 등은 19세기 말 불화 양식을 보여준다. 팔상도는 석가모니의 일대기를 여덟 장면으로 그린 것으로, 1890년 상궁 김씨와 박씨의 시주로 한곡당(漢谷堂) 돈법(頓法)이 제작하였다. 상하 2단으로 구분하여 상단에 1상에서 4상까지, 하단에 5상에서 8상까지 각각 네 장면씩 그렸다.","지장사 대웅전에 보관되어 있는 불교그림으로, 인도의 재래적인 토속신인 신중을 그린 것이다. 비단 바탕에 적색과 녹색, 갈색을 주로 사용하여 채색하였으며, 크기는 가로 198㎝, 세로 149㎝ 이다. 화면에는 천룡과 범천, 제석 등을 중심으로 비교적 많은 권속들을 그려넣었는데, 좌우 대칭구도와 천룡과 제석 등이 이루는 역삼각형의 구도가 다소 복잡한 화면구성을 보이고 있다. 특히 천녀들이 20여 종에 달한는 각종의 악기를 연주하는 다양한 모습은 매우 뛰어나다. 인체를 불균형하게 표현한 점과 과장된 안면의 묘사 등이 19세기 불화의 특징을 보이고 있는 작품으로, 비록 색깔이 바래기는 하였으나, 조화로운 색채 구성으로 그림의 품격을 높이고 있다.","","","","","","","118","LOC","시지정","19990519","","","","Y","","","LW3010","유형문화유산","2111101180000","동산","","불교","CA9004","CA9004","DSGPS7010","기지정 문화재 등록완료","","",""
"SE2019CM00099","지장사 현왕도","地藏寺 現王圖","","SE012","동작구","126.970988","37.4992854","서울특별시 동작구 동작동 산41-2 국립서울현충원 ","서울특별시 동작구 현충로 210(동작동) ","","","1893년(광자19,고종30)","CA8017","","기타","1幅","","","","","지장사 현왕도 地?寺 現王圖  지정번호 : 서울시특별시 유형문화재 제119호  신중도는 불법을 수호하는 신중을 그린 불화로, 제석천과 범천. 위태천과 천룡팔부를 중심으로 많은 신중들을 묘사했다. 불균형한 인체 표현과 과장된 안면의 묘사 등 19세기 불화의 특징이 드러나 있다. 현왕도는 사람이 죽은 후 3일 만에 심판하는 현왕과 그 권속들을 그린 것으로 1893년 금호당 약효가 제작하였다. 인물의 일률적인 안면 묘사, 옷주름 표현의 간략화, 형식화된 문양, 탁한 군청색의 사용, 단색의 구름 표현 등은 19세기 말 불화 양식을 보여준다. 팔상도는 석가모니의 일대기를 여덟 장면으로 그린 것으로, 1890년 상궁 김씨와 박씨의 시주로 한곡당(漢谷堂) 돈법(頓法)이 제작하였다. 상하 2단으로 구분하여 상단에 1상에서 4상까지, 하단에 5상에서 8상까지 각각 네 장면씩 그렸다.","지장사 대웅전에 보존되어 있는 그림으로, 염라대왕의 심판 장면을 그린 것이다. 비단 바탕에 채색하여 그린 것으로, 둥근 구조 안에 현왕의 심판 장면을 그려 넣었는데, 왕의 당당한 체구와 세밀한 얼굴묘사에서 비교적 예스런 양식이 나타난다. 조선 고종 30년(1893)에 제작된 이 그림은 얼굴과 옷주름을 획일적으로 묘사하고, 꽃무늬와 구름을 단색으로 처리하고 있어 19세기 말에 나타난 불화의 경향을 그대로 보여주고 있다.","","","","","","","119","LOC","시지정","19990519","","","","Y","","","LW3010","유형문화유산","2111101190000","동산","","불교","CA9004","CA9004","DSGPS7010","기지정 문화재 등록완료","","",""
"SE2019CM00100","지장사 팔상도","地藏寺 八相圖","","SE012","동작구","126.970988","37.4992854","서울특별시 동작구 동작동 산41-2 국립서울현충원 ","서울특별시 동작구 현충로 210(동작동) ","","","19세기말","CA8017","","불도","1幅","","","","","지장사 팔상도 地?寺 八相圖  지정번호 : 서울시특별시 유형문화재 제120호  신중도는 불법을 수호하는 신중을 그린 불화로, 제석천과 범천. 위태천과 천룡팔부를 중심으로 많은 신중들을 묘사했다. 불균형한 인체 표현과 과장된 안면의 묘사 등 19세기 불화의 특징이 드러나 있다. 현왕도는 사람이 죽은 후 3일 만에 심판하는 현왕과 그 권속들을 그린 것으로 1893년 금호당 약효가 제작하였다. 인물의 일률적인 안면 묘사, 옷주름 표현의 간략화, 형식화된 문양, 탁한 군청색의 사용, 단색의 구름 표현 등은 19세기 말 불화 양식을 보여준다. 팔상도는 석가모니의 일대기를 여덟 장면으로 그린 것으로, 1890년 상궁 김씨와 박씨의 시주로 한곡당(漢谷堂) 돈법(頓法)이 제작하였다. 상하 2단으로 구분하여 상단에 1상에서 4상까지, 하단에 5상에서 8상까지 각각 네 장면씩 그렸다.","지장사 대웅전에 보존되어 있는 그림으로, 석가모니불의 생애를 묘사한 것이다. 가로 190.5㎝, 세로 147.5㎝ 의 크기로, 비단 바탕에 채색하였으며, 여덟 장면을 한 폭의 화면에 압축하여 그렸다. 화면을 8면으로 나누어 가장 극적인 장면만을 묘사하였는데, 각 장면에 흐르는 형식적인 형태와 탁한 색조는 19세기 말 당시의 불화양식을 잘 반영하고 있다.","","","","","","","120","LOC","시지정","19990519","","","","Y","","","LW3010","유형문화유산","2111101200000","동산","","불교","CA9004","CA9004","DSGPS7010","기지정 문화재 등록완료","","",""
"SE2019CM00101","만월암 석불좌상","滿月庵 石佛坐像","","SE010","도봉구","127.0125643","37.6792461","서울특별시 도봉구 도봉동 산31 만월암 ","서울특별시 도봉구 도봉산길 92-4(도봉동) ","","","1784년","CA8017","","불상","1軀","불상높이1.5m","","","","지정번호 : 서울특별시 유형문화재 제121호 / 시대 : 조선후기  소재지: 서울특별시 도봉구 도봉동 산 29번지  만월보전이라는 현관이 있는 석굴 안 법당에 봉안된 이 석불좌상은 높이가 1.5m이며, 표면이  흰색으로 칠해져 있다. 갸름하고 양감이 풍부한 얼굴에 이목구비가 단아하며, 불신(佛身) 위에는  대의를 통견식(通肩式)으로 입었고 오른손은 무릎 위에 살짝 올리고 왼손은 손바닥을 위로 하여  다리 위에 올려놓았는데 보주를 들고 있어 현재 약사여래로 신앙되고 있다.  석굴의 벽면에는 건륭 49년(1784)에 새겨진 개금명문이 있어 이 석불좌상의 조성 하한을  짐작할 수 있으며 불상의 양식으로 미루어 볼 때 대략 조선후기에 조성된 것으로 추정되는데,  명문이 있는 조선후기 석불로서 매우 중요한 예라고 하겠다.","서울특별시 도봉구 만월암에 모신 불상이다. 만월암은 현재 석굴법당만 남아있을 뿐이지만 벽에 불상을 만든 연대가 기록되어 있어 석불상 연구에 중요한 자료가 된다. 여기에 남아 있는 기록으로 보아 만들어진 시기는 1700년대 전후로 여겨지며 연대의 하한은 1784년이다. 아담한 얼굴의 이 불상은 사람키에 가까운 높이, 단정한 체구, 양 어깨를 감싸며 입은 옷 등으로 미루어 보아 조선 후기의 뛰어난 석불상으로 여겨진다.","","","","","","","121","LOC","시지정","19990519","","","","Y","","","LW3010","유형문화유산","2111101210000","동산","","불교","CA9004","CA9004","DSGPS7010","기지정 문화재 등록완료","","",""
"SE2019CM00102","안양암 마애관음보살좌상","安養庵 磨崖觀音菩薩坐像","","SE023","종로구","127.013374925","37.5753385641","서울특별시 종로구 창신동 130-1 안양암 ","서울특별시 종로구 창신5길 61(창신동) ","","","1909년(조선순종3년)","CA8017","","보살상","마애불 암반 1基, 토지 25㎡","높이3.53m","","","","안양암 마애관음보상 좌상  지정번호 : 서울특별시 유형문화재 제122호 / 시대 : 1909년(융희 3) 소 재 지 : 서울특별시 종로구 창신동 130-1번지  이 상은 안양암 대웅전 오른쪽[向左] 절벽 바위에 새긴 마애관음보살상이다. 안양암은 1889년 (고종 26)에 이성월(李性月) 스님이 세운 것으로 우리나라의 근대불교사를 엿볼 수 있는 절이다. 이 관음보살상은 안양암의 상징물로 여겨지고 있다. 바위 절벽에 관음전이라는 폭이 좁은 전실건물(前室建物)을 세우고 이 안에 얕은 부조로 감실을 마련한 후 관음보살좌상을 새겼는데, 이는 전형적인 마애보살상이라 할 수 있는 것이다. 보살상은 머리에 원통형 보관을 쓰고 있는데, 보관의 중심에는 화불(化佛)이 표현되어 관음보살상임을 알 수 있다. 정면을 바라보고 있는 바로 뜬 눈, 짧은 코, 큰 입, 팽창된 뺨을 가진 긴 얼굴의 표정은 다소 근엄해 보인다. 직각으로 이루어진 어깨 때문에 상체는 사각형이며, 결가부좌한 무릎은 높고 큼직한 편이다. 오른손은 배에 대고 왼손은 가슴에 들어 엄지와 검지를 맞댄 특이한 수인을 짓고 있으며 대의의 주름과 광배의 윤곽선 등은 기하학적이다. 관음전 왼쪽 바위 면에 새긴 100여 자의 조성명문에는 1909년(융희 3)에 석공이 새겼다는 내용이 있어, 이 관음보살상은 조선조의 마지막을 장식하는 마애불상임을 알 수 있다.","서울 종로구 창신동의 안양암에 있는 마애관음보살상으로 1909년에 만들어진 것이다. 돌로 불상이 들어 앉을 반원형의 공간을 만들어 중앙에 관음전(觀音殿)이라 새기고 그 안에 불상을 조각한 것으로 전체 높이 3.53m이다. 불상 좌우에 연꽃이 조각되어 있는 팔각기둥이 세워져 있어 전각 같은 느낌을 준다. 불상은 전체적으로 묵중하고 풍만한 느낌을 주는데, 조각선은 그리 깊지 않지만 자세가 안정적이며, 넓고 각진 어깨가 중량감있어 보인다. 이러한 양식은 고려말 조선초 양식을 계승한 것으로 조선 후기 서울 지역의 마애불 양식을 보여주는 좋은 예이다.","","","","","","","122","LOC","시지정","19991115","","","","Y","","","LW3010","유형문화유산","2111101220000","부동산","","불교","CA9004","CA9004","DSGPS7010","기지정 문화재 등록완료","","",""
"SE2019CM00103","아미타괘불도","阿彌陀掛佛圖","","SE023","종로구","126.9889392","37.5807194","서울특별시 종로구 평창동 97 가나아트센터 ","서울특별시 종로구 평창30길 28(평창동) ","","","1882년(조선고종19년)","CA8017","","불도","1幅","","","","","","괘불이란 옥외에서 법회를 할 때 밖에 내어 걸고 의식을 행하는 걸개그림 형태의 불화를 말한다. 이 괘불은 조선 고종 19년(1882) 김시대의 발원에 의해 제작된 것으로, 아미타불을 주존으로 한 아미타삼존불화이다. 19세기 후반 서울지역과 경기 인근지역에서 제작된 괘불 형식을 따르고 있으며, 세로 5.7m, 가로 3.29m의 크기로, 삼베에 채색한 것이다. 큰 화면에 아미타불?관음보살?세지보살이 화면을 가득 채우고 서 있으며, 그 아래로 십대 제자의 대표인 아난존자와 가섭존자가 합장하고 서 있다. 화면 아래에는 사자를 탄 무수동자와 코끼리를 탄 보현보살이 배치되어 있다. 채색은 적색과 황색, 청색과 녹색 등이 많이 사용되었고 특히 삼존불의 몸체와 하단의 색깔을 황금빛으로 처리하여 강렬한 인상을 준다. 붓으로 그린 선은 비교적 투박하면서 형식화 되었고, 화면을 꽉 메우는 기법으로 그렸다. 중후한 인물 표현과 강렬한 채색 등에서 조선 후기 서울 경기 지역의 불화 양식을 엿볼 수 있다.","","","","","","","123","LOC","시지정","19991115","","","","Y","","","LW3010","유형문화유산","2111101230000","동산","","불교","CA9004","CA9004","DSGPS7010","기지정 문화재 등록완료","","",""
